CITY,TEAM,LEAGUE,YEAR,HOME_GMS,HOME_AVG,HOME_PCT,ROAD_GMS,ROAD_AVG,ROAD_PCT,OVR_GMS,OVR_AVG,OVR_PCT
Washington,Redskins,NFL,2008,8,"88,604",96.6,8,"67,173",97.0,16,"77,888",96.8
New York,NY Giants,NFL,2008,8,"79,069",95.8,8,"68,325",98.3,16,"73,697",96.9
New York,Jets,NFL,2008,8,"78,482",95.1,8,"67,796",97.2,16,"73,139",96.1
Denver,Broncos,NFL,2008,8,"75,509",99.2,8,"70,658",97.4,16,"73,084",98.3
Kansas City,Chiefs,NFL,2008,8,"74,077",96.5,8,"68,700",96.0,16,"71,389",96.3
Charlotte,Panthers,NFL,2008,8,"73,210",99.2,8,"65,704",93.2,16,"69,457",96.3
Cleveland,Browns,NFL,2008,8,"72,778",99.4,8,"70,674",99.2,16,"71,726",99.3
Buffalo,Bills,NFL,2008,7,"71,405",97.7,8,"68,806",95.7,15,"70,019",96.6
Baltimore,Ravens,NFL,2008,8,"71,269",100.4,8,"68,164",97.1,16,"69,716",98.8
Green Bay,Packers,NFL,2008,8,"70,682",96.9,8,"65,496",98.5,16,"68,089",97.7
Houston,Texans,NFL,2008,8,"70,420",99.1,8,"64,031",95.3,16,"67,226",97.3
New Orleans,Saints,NFL,2008,7,"70,092",96.1,8,"69,007",95.0,15,"69,514",95.5
Philadelphia,Eagles,NFL,2008,8,"69,144",102.3,8,"69,836",97.1,16,"69,490",99.6
Nashville,Titans,NFL,2008,8,"69,143",100,8,"66,864",99.0,16,"68,003",99.5
Boston,Patriots,NFL,2008,8,"68,756",100,8,"68,762",97.3,16,"68,759",98.6
Los Angeles,Rams,NFL,2008,8,"68,138",95.6,7,"67,865",96.0,15,"68,011",95.8
Seattle,Seahawks,NFL,2008,8,"67,995",101.5,8,"66,393",94.6,16,"67,194",98.0
San Francisco,49ers,NFL,2008,8,"67,512",96.2,8,"67,031",94.8,16,"67,272",95.5
Indianapolis,Colts,NFL,2008,8,"66,378",105.4,8,"68,048",98.3,16,"67,213",101.7
