YEAR_RANK,YEAR,TEAM,HOME_GMS,TOTAL,AVG,PCT,ROAD_GMS,AVG,PCT,OVERALL_GMS,AVG,PCT
1,2008,Yankees,81,"4,298,655","53,069",92.3,81,"35,192",78,162,"44,131",86
2,2008,Mets,79,"4,042,047","51,165",89.1,81,"35,944",81,160,"43,459",85
3,2008,Dodgers,81,"3,730,553","46,056",82.2,81,"34,709",78,162,"40,383",80
4,2008,Cardinals,81,"3,430,660","42,353",90.4,81,"32,342",75,162,"37,348",83
5,2008,Phillies,81,"3,422,583","42,254",97.1,81,"33,214",73,162,"37,734",85
6,2008,Angels,81,"3,336,744","41,194",91.4,81,"29,621",65,162,"35,407",78
7,2008,Cubs,81,"3,300,200","40,743",99.1,80,"36,328",82,161,"38,549",90
8,2008,Tigers,81,"3,202,645","39,538",98.6,80,"29,308",65,161,"34,455",81
9,2008,Brewers,81,"3,068,458","37,882",89.3,81,"33,236",75,162,"35,559",82
10,2008,Red Sox,81,"3,048,250","37,632",104,81,"38,367",84,162,"37,999",93
11,2008,Giants,81,"2,863,837","35,356",85.1,80,"32,269",70,161,"33,822",77
12,2008,Astros,80,"2,779,287","34,741",84.8,81,"32,197",72,161,"33,461",78
13,2008,Rockies,80,"2,650,218","33,127",65.7,81,"32,777",73,161,"32,951",69
14,2008,Braves,81,"2,532,834","31,269",62.4,79,"34,105",76,160,"32,669",69
15,2008,Diamondbacks,81,"2,509,924","30,986",63.2,81,"33,945",75,162,"32,466",69
16,2008,White Sox,81,"2,501,103","30,877",76,81,"30,253",67,162,"30,565",71
17,2008,Padres,81,"2,427,535","29,969",70.5,81,"35,798",77,162,"32,883",74
19,2008,Nationals,80,"2,320,400","29,005",69.2,80,"32,825",71,160,"30,915",70
20,2008,Mariners,81,"2,329,702","28,761",60.2,81,"29,822",64,162,"29,292",62
21,2008,Twins,81,"2,302,431","28,425",58.4,81,"29,660",68,162,"29,042",63
22,2008,Indians,80,"2,169,760","27,122",62.5,80,"31,026",69,160,"29,074",66
23,2008,Reds,81,"2,058,632","25,415",60.4,81,"34,285",77,162,"29,850",69
24,2008,Orioles,78,"1,950,075","25,000",51.9,80,"31,653",70,158,"28,369",61
25,2008,Rangers,80,"1,945,677","24,320",49.5,80,"29,765",66,160,"27,043",58
26,2008,Rays,80,"1,780,791","22,259",52.8,80,"30,342",67,160,"26,301",60
27,2008,Athletics,81,"1,665,256","20,558",48.3,79,"29,943",65,160,"25,192",57
28,2008,Pirates,80,"1,609,076","20,113",52.4,81,"33,700",76,161,"26,949",65
29,2008,Royals,79,"1,578,922","19,986",49,81,"29,926",66,160,"25,018",58
30,2008,Marlins,80,"1,335,075","16,688",45.9,79,"33,340",72,159,"24,962",60
1,2009,Dodgers,81,"3,761,653","46,440",82.9,81,"33,534",76,162,"39,987",80
2,2009,Yankees,81,"3,674,495","45,364",86.7,81,"34,482",78,162,"39,923",83
3,2009,Phillies,81,"3,600,693","44,453",102.2,80,"30,760",69,161,"37,649",86
4,2009,Cardinals,81,"3,343,252","41,274",88.1,81,"31,815",75,162,"36,545",82
5,2009,Angels,81,"3,240,374","40,004",88.8,80,"26,552",58,161,"33,320",73
6,2009,Cubs,80,"3,168,859","39,610",96.3,81,"34,930",80,161,"37,256",88
7,2009,Mets,81,"3,154,270","38,941",92.7,81,"31,809",73,162,"35,375",82
8,2009,Red Sox,81,"3,062,699","37,811",101.5,81,"33,869",73,162,"35,840",86
9,2009,Brewers,81,"3,037,451","37,499",88.4,81,"30,413",70,162,"33,956",79
10,2009,Giants,81,"2,861,113","35,322",85,80,"32,234",70,161,"33,788",77
11,2009,Rockies,81,"2,665,080","32,902",65.2,80,"30,938",69,161,"31,926",67
12,2009,Tigers,81,"2,567,185","31,693",79,82,"29,622",67,163,"30,651",73
13,2009,Astros,81,"2,521,076","31,124",76,81,"30,666",69,162,"30,895",72
14,2009,Twins,82,"2,416,237","29,466",60.5,81,"27,801",64,163,"28,638",62
15,2009,Braves,81,"2,373,631","29,304",58.5,81,"31,612",74,162,"30,458",65
16,2009,White Sox,81,"2,284,164","28,199",69.4,80,"28,723",65,161,"28,459",67
17,2009,Rangers,78,"2,156,016","27,641",56.3,80,"27,629",61,158,"27,635",59
18,2009,Mariners,81,"2,196,461","27,116",56.8,80,"27,624",61,161,"27,368",59
19,2009,Diamondbacks,81,"2,128,799","26,281",53.6,80,"30,457",68,161,"28,356",60
20,2009,Padres,81,"1,922,603","23,735",55.8,81,"31,526",69,162,"27,631",63
21,2009,Orioles,81,"1,907,163","23,545",48.9,81,"28,108",63,162,"25,826",56
23,2009,Rays,81,"1,874,962","23,147",52.9,81,"28,643",63,162,"25,895",58
24,2009,Nationals,80,"1,817,202","22,715",54.2,81,"31,345",71,161,"27,056",63
25,2009,Indians,79,"1,776,904","22,492",51.8,81,"27,843",64,160,"25,201",58
