YEAR_RANK,YEAR,TEAM,HOME_GMS,TOTAL,AVG,PCT,ROAD_GMS,AVG,PCT,OVERALL_GMS,AVG,PCT
1,2008,Pistons,41,"905,116","22,076",100,41,"17,714",112,82,"19,895",105
2,2008,Bulls,41,"901,502","21,987",101.3,41,"17,353",106,82,"19,670",103
3,2008,Cavaliers,41,"839,074","20,465",99.5,41,"17,992",113,82,"19,228",105
4,2008,Mavericks,41,"831,738","20,286",--,41,"17,716",106,82,"19,001",227
5,2008,Jazz,41,"816,211","19,907",100,41,"17,215",113,82,"18,561",106
6,2008,Warriors,41,"804,864","19,630",100.2,41,"17,255",113,82,"18,443",106
7,2008,Trail Blazers,41,"801,566","19,550",97.8,41,"16,700",109,82,"18,125",103
8,2008,Heat,41,"798,004","19,463",99.3,41,"17,503",110,82,"18,483",104
10,2008,NY Knicks,41,"783,739","19,115",99.1,41,"17,429",109,82,"18,272",104
11,2008,Lakers,41,"778,877","18,997",98.5,41,"18,671",119,82,"18,834",108
12,2008,Celtics,41,"763,584","18,624",100,41,"19,042",116,82,"18,833",107
13,2008,Spurs,41,"761,149","18,564",100.3,41,"17,954",114,82,"18,259",107
14,2008,Suns,41,"755,302","18,422",96.8,41,"18,046",115,82,"18,234",105
15,2008,Wizards,41,"736,461","17,962",--,41,"16,774",99,82,"17,368",205
16,2008,Rockets,41,"718,524","17,524",94.7,41,"17,527",115,82,"17,526",104
17,2008,Nuggets,41,"711,962","17,364",--,41,"18,115",111,82,"17,740",218
18,2008,Magic,41,"709,346","17,301",100.3,41,"17,540",108,82,"17,420",104
19,2008,Clippers,41,"692,408","16,888",--,41,"16,628",103,82,"16,758",207
20,2008,Hawks,41,"667,518","16,280",--,41,"16,853",100,82,"16,567",196
21,2008,Nets,41,"641,921","15,656",78.3,41,"17,610",107,82,"16,633",91
22,2008,Bucks,41,"639,421","15,595",83.3,41,"16,738",104,82,"16,167",93
