YEAR_RANK,YEAR,TEAM,HOME_GMS,TOTAL,AVG,PCT,ROAD_GMS,AVG,PCT,OVERALL_GMS,AVG,PCT
1,2008,Blackhawks,41,"912,155","22,247",111.2,41,"17,545",94.9,82,"19,896",103.4
3,2008,Red Wings,41,"814,474","19,865",99,41,"18,828",104.9,82,"19,346",101.8
4,2008,Flyers,41,"801,372","19,545",100.2,41,"17,544",95.1,82,"18,544",97.8
9,2008,Wild,41,"761,288","18,568",102.8,41,"17,101",93.1,82,"17,834",97.9
10,2008,Blues,41,"760,732","18,554",88.4,41,"17,193",93.6,82,"17,873",90.8
11,2008,Sabres,41,"759,798","18,531",99.2,41,"17,531",94.4,82,"18,031",96.8
12,2008,NY Rangers,41,"745,085","18,172",102.3,41,"17,854",99,82,"18,013",100.7
13,2008,Capitals,41,"741,992","18,097",96.9,41,"17,447",94.4,82,"17,772",95.7
14,2008,Stars,41,"724,911","17,680",95.4,41,"16,961",92.4,82,"17,321",93.9
15,2008,Sharks,41,"717,023","17,488",100,41,"17,672",95.5,82,"17,580",97.6
16,2008,Bruins,41,"698,638","17,039",97,41,"18,156",97.2,82,"17,597",97.1
17,2008,Ducks,41,"696,629","16,990",98.9,41,"17,501",94.9,82,"17,246",96.9
18,2008,Penguins,41,"695,997","16,975",102.6,41,"17,992",99.1,82,"17,483",100.8
20,2008,Hurricanes,41,"679,488","16,572",88.5,41,"17,126",92.1,82,"16,849",90.3
21,2008,Lightning,41,"676,409","16,497",85.6,41,"17,009",94.8,82,"16,753",90
22,2008,LA Kings,41,"676,042","16,488",89.1,41,"17,427",95,82,"16,958",92.1
23,2008,Devils,41,"647,397","15,790",89.6,41,"17,745",95.5,82,"16,767",92.6
24,2008,FL Panthers,41,"640,496","15,621",81.2,41,"17,038",92.1,82,"16,330",86.5
25,2008,Blue Jackets,41,"637,284","15,543",85.7,41,"17,583",94.7,82,"16,563",90.2
26,2008,Avalanche,41,"632,602","15,429",85.7,41,"17,205",93.3,82,"16,317",89.5
27,2008,Predators,41,"615,439","15,010",87.7,41,"17,584",93.4,82,"16,297",90.7
28,2008,Coyotes,41,"609,907","14,875",85,41,"17,316",93.9,82,"16,095",89.6
30,2008,Islanders,41,"564,697","13,773",84.5,41,"17,705",95.3,82,"15,739",90.3
1,2009,Blackhawks,40,"854,267","21,356",108.3,40,"17,163",94.4,80,"19,260",101.7
3,2009,Red Wings,40,"781,847","19,546",97.4,40,"17,919",98.4,80,"18,732",97.9
4,2009,Flyers,41,"800,966","19,535",100.2,40,"16,830",92.3,81,"18,200",96.4
7,2009,Blues,40,"755,322","18,883",98.6,40,"16,690",91.4,80,"17,786",95.1
9,2009,Sabres,41,"759,695","18,529",99.1,41,"17,064",92.3,82,"17,796",95.7
10,2009,Wild,41,"755,055","18,415",101.9,41,"17,037",92.5,82,"17,726",97.2
11,2009,Capitals,41,"749,357","18,277",100,41,"17,070",91.9,82,"17,673",95.9
13,2009,NY Rangers,41,"741,128","18,076",99.3,41,"17,733",96.2,82,"17,904",97.8
14,2009,Sharks,41,"719,904","17,558",100.4,41,"16,814",91.7,82,"17,186",95.9
15,2009,Bruins,40,"695,543","17,388",99,41,"17,646",94.7,81,"17,519",96.7
16,2009,LA Kings,41,"709,853","17,313",93.6,41,"16,440",90.3,82,"16,877",92
17,2009,Stars,41,"705,817","17,215",92.9,41,"16,797",91.9,82,"17,006",92.4
18,2009,Penguins,41,"700,211","17,078",100.7,41,"18,205",98.5,82,"17,641",99.6
20,2009,Devils,41,"636,975","15,535",88.1,41,"17,454",94.9,82,"16,495",91.6
21,2009,Lightning,41,"635,388","15,497",78.4,41,"16,700",90.5,82,"16,099",84.3
22,2009,Blue Jackets,41,"632,086","15,416",85,41,"17,057",92.8,82,"16,237",88.9
23,2009,Hurricanes,41,"624,873","15,240",81.4,41,"16,391",88.7,82,"15,816",85
24,2009,Ducks,41,"621,903","15,168",88.3,41,"16,873",92.1,82,"16,020",90.3
25,2009,FL Panthers,40,"605,863","15,146",78.7,40,"16,495",89.2,80,"15,820",83.9
26,2009,Predators,41,"614,143","14,979",87.5,41,"16,903",92.2,82,"15,941",89.9
27,2009,Avalanche,41,"571,849","13,947",77.5,41,"17,519",95.2,82,"15,733",86.4
29,2009,Islanders,41,"522,168","12,735",78.1,41,"17,070",92.2,82,"14,903",85.6
30,2009,Coyotes,41,"491,558","11,989",68.5,41,"16,986",92.6,82,"14,487",80.8
1,2010,Blackhawks,41,"878,356","21,423",108.7,41,"17,875",97.4,82,"19,649",103.2
3,2010,Flyers,41,"808,328","19,715",101.1,41,"17,525",94.9,82,"18,620",98.1
4,2010,Red Wings,41,"806,892","19,680",98.1,41,"18,224",99.9,82,"18,952",98.9
7,2010,Blues,41,"785,150","19,150",100,41,"16,229",88.8,82,"17,689",94.5
9,2010,Sabres,41,"756,568","18,452",98.7,41,"17,036",91.9,82,"17,744",95.3
10,2010,Capitals,41,"754,309","18,397",100,40,"17,149",92.2,81,"17,781",96.1
12,2010,Penguins,40,"729,628","18,240",100.9,41,"17,986",97.2,81,"18,112",99
13,2010,NY Rangers,41,"742,432","18,108",99.5,41,"17,608",95.3,82,"17,858",97.4
14,2010,LA Kings,41,"741,404","18,083",99.8,41,"17,045",93.4,82,"17,564",96.6
15,2010,Wild,40,"720,508","18,012",99.7,40,"16,444",90.2,80,"17,228",94.9
16,2010,Bruins,40,"702,600","17,565",100,40,"17,847",95.6,80,"17,706",97.7
17,2010,Sharks,40,"702,480","17,562",100.4,40,"17,200",93.7,80,"17,381",97
18,2010,Lightning,41,"708,022","17,268",87.4,41,"16,971",92,82,"17,119",89.6
20,2010,Hurricanes,40,"656,611","16,415",87.6,40,"16,789",90.4,80,"16,602",89
21,2010,Predators,41,"661,861","16,142",94.3,41,"16,287",87.6,82,"16,215",90.8
22,2010,FL Panthers,41,"643,116","15,685",81.5,41,"16,973",91.8,82,"16,329",86.6
23,2010,Stars,41,"617,997","15,073",81.3,41,"16,844",92.6,82,"15,958",86.9
24,2010,Avalanche,41,"607,650","14,820",82.3,41,"17,121",93.5,82,"15,970",88
25,2010,Devils,41,"605,803","14,775",83.8,41,"17,789",95.7,82,"16,282",89.9
26,2010,Ducks,41,"604,283","14,738",85.8,41,"17,089",93.2,82,"15,914",89.6
27,2010,Blue Jackets,40,"546,350","13,658",75.3,40,"16,672",90.6,80,"15,165",83
29,2010,Coyotes,40,"487,543","12,188",71.2,40,"16,719",91.2,80,"14,454",81.5
30,2010,Islanders,41,"453,456","11,059",67.9,41,"17,380",93.4,82,"14,220",81.5
1,2011,Blackhawks,41,"882,874","21,533",105,41,"17,581",96.5,82,"19,557",101
3,2011,Flyers,41,"837,754","20,433",107.4,41,"17,241",95,82,"18,837",101.4
4,2011,Red Wings,41,"824,706","20,114",100.7,41,"17,654",96.6,82,"18,884",98.7
9,2011,Blues,41,"771,207","18,809",98.2,41,"17,268",94.1,82,"18,039",96.2
10,2011,Penguins,41,"761,224","18,566",102.7,41,"17,901",97.8,82,"18,233",100.2
11,2011,Sabres,41,"760,558","18,550",99.9,41,"17,833",97.1,82,"18,191",98.6
12,2011,Capitals,41,"758,746","18,506",101.3,41,"17,574",95.9,82,"18,040",98.6
13,2011,Lightning,41,"757,192","18,468",96.2,41,"17,228",94.5,82,"17,848",95.4
14,2011,NY Rangers,41,"745,852","18,191",100,41,"18,530",105,82,"18,360",102.4
15,2011,LA Kings,41,"734,736","17,920",100,41,"16,230",89.4,82,"17,075",94.7
16,2011,Wild,41,"728,683","17,772",98.4,41,"17,012",92.9,82,"17,392",95.6
17,2011,Bruins,41,"720,145","17,564",100,41,"18,510",100.1,82,"18,037",100
18,2011,Sharks,41,"720,076","17,562",100,41,"17,140",94.5,82,"17,351",97.2
