WikiMetro,City,State,NFL,MLB,NBA,NHL
New York City,New York,NY,NY Giants,Yankees,NY Knicks,NY Rangers
New York City,New York,NY,Jets,Mets,,
New York City,Brooklyn,NY,,,Nets,Islanders
New York City,Newark,NJ,,,,Devils
Los Angeles,Los Angeles,CA,Rams,Dodgers,Lakers,LA Kings
Los Angeles,Los Angeles,CA,Chargers,,Clippers,
Los Angeles,Anaheim,CA,,Angels,,Ducks
San Francisco Bay Area,San Francisco,CA,49ers,Giants,,
San Francisco Bay Area,Oakland,CA,Raiders,Athletics,Warriors,
San Francisco Bay Area,San Jose,CA,,,,Sharks
Chicago,Chicago,IL,Bears,Cubs,Bulls,Blackhawks
Chicago,Chicago,IL,,White Sox,,
Dallas-Fort Worth,Dallas,TX,Cowboys,,Mavericks,Stars
Dallas-Fort Worth,Arlington,TX,,Rangers,,
"Washington, D.C.",Washington,DC,Redskins,Nationals,Wizards,Capitals
Philadelphia,Philadelphia,PA,Eagles,Phillies,76ers,Flyers
Boston,Boston,MA,Patriots,Red Sox,Celtics,Bruins
Minneapolis-St. Paul,Minneapolis,MN,Vikings,Twins,Timberwolves,Wild
Minneapolis-St. Paul,St. Paul,MN,,,,
Denver,Denver,CO,Broncos,Rockies,Nuggets,Avalanche
Miami-Fort Lauderdale,Miami,FL,Dolphins,Marlins,Heat,
Miami-Fort Lauderdale,Fort Lauderdale,FL,,,,FL Panthers
Phoenix,Phoenix,AZ,AZ Cardinals,Diamondbacks,Suns,Coyotes
Detroit,Detroit,MI,Lions,Tigers,Pistons,Red Wings
Houston,Houston,TX,Texans,Astros,Rockets,
Atlanta,Atlanta,GA,Falcons,Braves,Hawks,
Tampa Bay Area,Tampa,FL,Buccaneers,,,Lightning
Tampa Bay Area,St. Petersburg,FL,,Rays,,
Pittsburgh,Pittsburgh,PA,Steelers,Pirates,,Penguins
Cleveland,Cleveland,OH,Browns,Indians,Cavaliers,
Seattle,Seattle,WA,Seahawks,Mariners,,
Cincinnati,Cincinnati,OH,Bengals,Reds,,
Kansas City,Kansas City,MO,Chiefs,Royals,,
St. Louis,St. Louis,MO,,Cardinals,,Blues
Baltimore,Baltimore,MD,Ravens,Orioles,,
Charlotte,Charlotte,NC,Panthers,,Hornets,
Indianapolis,Indianapolis,IN,Colts,,Pacers,
Nashville,Nashville,TN,Titans,,,Predators
Milwaukee,Milwaukee,WI,,Brewers,Bucks,
New Orleans,New Orleans,LA,Saints,,Pelicans,
Buffalo,Buffalo,NY,Bills,,,Sabres
Orlando,Orlando,FL,,,Magic,
Portland,Portland,OR,,,Trail Blazers,
Columbus,Columbus,OH,,,,Blue Jackets
Salt Lake City,Salt Lake City,UT,,,Jazz,
San Diego,San Diego,CA,,Padres,,
San Antonio,San Antonio,TX,,,Spurs,
Sacramento,Sacramento,CA,,,Kings,
Las Vegas,Las Vegas,NV,,,,Golden Knights
Jacksonville,Jacksonville,FL,Jaguars,,,
Oklahoma City,Oklahoma City,OK,,,Thunder,
Memphis,Memphis,TN,,,Grizzlies,
Raleigh,Raleigh,NC,,,,Hurricanes
Green Bay,Green Bay,WI,Packers,,,
