,City,State,Census 2010 Total Population,"2018 Population Estimate (as of July 1, 2018)",2017 ACS 5-Year Population Estimate,Median Age,Number of Companies,Educational Attainment: Percent high school graduate or higher,Total housing units,Median Household Income,Foreign Born Population,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Two or More Races,Hispanic or Latino (of any race),"White alone, Not Hispanic or Latino",Veterans
0,New York,NY,8175133,"8,398,748",8560072,36.2,1050911,81.10%,3455117,57782,3180098,3661800,2081507,34487,1198334,4358,1294497,285089,2491496,2747159,163465
1,Brooklyn,NY,2504700,,2635121,34.8,,80.70%,1028383,52782,971504,1138768,869467,8735,313891,975,232279,71006,508365,947519,40990
2,Newark,NY,3946,,3791,45.1,229,92.60%,1721,65313,27,3714,6,5,3,0,9,54,26,3697,336
3,Los Angeles,CA,9818605,"10,105,518",10105722,36,1146701,78.20%,3506903,61015,3478879,5232835,828981,68211,1460508,27691,2101084,386412,4893579,2676982,280109
4,Anaheim,CA,336265,"352,005",349007,34,29541,76.60%,104533,65313,128386,239734,8268,1329,57539,1288,29324,11525,187931,87991,10251
5,San Francisco,CA,805235,"883,305",864263,38.3,116803,87.90%,390376,96265,300542,408266,45654,3306,295347,3226,64800,43664,131949,353000,24582
6,Oakland,CA,390724,"429,082",417442,36.4,44799,80.70%,169303,63251,115111,153035,101482,3627,66351,2504,61162,29281,112690,113985,12951
7,San Jose,CA,945942,"1,030,119",1023031,36.4,77832,83.50%,331510,96662,403442,416127,30767,5806,355623,4203,158287,52218,330827,271027,28305
8,Chicago,IL,2695598,"2,705,994",2722586,34.1,291007,83.80%,1200305,52497,563879,1337911,830626,7723,169458,841,304527,71500,789713,890322,75405
9,Dallas,TX,1197816,"1,345,047",1300122,32.5,142658,75.90%,552711,47285,317741,802952,316191,3361,43683,606,99633,33696,541665,377990,43602
10,Arlington,TX,365438,"398,112",388225,33.1,35988,84.70%,147407,55562,81487,244490,85023,1619,26689,458,17998,11948,112283,155606,18615
11,Washington,DC,601723,"702,455",672391,33.9,63408,90.30%,308161,77649,94421,273471,321062,1757,25558,289,30961,19293,71829,241901,27695
12,Philadelphia,PA,1526006,"1,584,138",1569657,34.1,104439,83.30%,679876,40649,210076,652204,668123,5641,111487,831,87384,43987,221777,548312,60637
13,Boston,MA,617594,"694,583",669158,32,59268,86.10%,285660,62021,189680,353062,169042,2479,63408,176,47900,33091,129520,300491,16221
14,Minneapolis,MN,382578,"425,403",411452,32.1,44702,89.30%,183344,55720,65368,263055,77778,5086,24892,79,20344,20218,40147,246351,14481
15,St. Paul,MN,285068,"307,695",300820,31.5,27147,86.40%,119278,52841,58640,172777,47691,2675,54039,80,8733,14825,29207,156681,10055
16,Denver,CO,600158,"716,492",678467,34.4,79097,86.70%,306714,60098,107141,521481,64466,6537,24433,993,37216,23341,207100,363712,29712
17,Miami,FL,399457,"470,914",443007,40,98222,75.60%,196618,33999,256914,333912,81512,1141,4172,213,14433,7624,319782,46415,6593
18,Fort Lauderdale,FL,165521,"182,595",177175,42.2,32917,86.80%,95843,52315,42147,110270,56770,398,2584,50,3805,3298,31456,85139,9335
19,Phoenix,AZ,1445632,"1,660,272",1574421,33.3,124033,81.20%,608384,52080,308744,1131958,108846,31543,57211,3192,184145,57526,668376,682354,72364
20,Detroit,MI,713777,"672,662",679865,34.7,61868,79.70%,364900,27838,39101,95875,537931,2322,10185,107,20527,12918,51685,67579,28572
21,Houston,TX,2099451,"2,325,502",2267336,32.9,260347,77.90%,943183,49399,662304,1326310,518678,7629,151370,1182,216385,45782,1008249,564663,71749
22,Atlanta,GA,420003,"498,044",465230,33.5,64593,89.90%,235900,51701,32026,186447,243285,1189,18727,157,4863,10562,21450,173337,20066
23,Tampa,FL,335709,"392,890",368087,35.6,44811,87.10%,165678,48245,59585,240097,89032,1128,15506,228,9481,12615,92494,165660,21467
24,St. Petersburg,FL,244769,"265,098",256031,42.6,25545,90.50%,131356,50622,27045,177116,58494,501,8515,126,3204,8075,19555,161439,20786
