,GEO.id,GEO.id2,GEO.display-label,HC01_VC03,HC01_VC04,HC01_VC05,HC01_VC06,HC01_VC09,HC01_VC10,HC01_VC11,HC01_VC12,HC01_VC13,HC01_VC14,HC01_VC15,HC01_VC16,HC01_VC17,HC01_VC18,HC01_VC19,HC01_VC20,HC01_VC21,HC01_VC24,HC01_VC27,HC01_VC28,HC01_VC29,HC01_VC30,HC01_VC31,HC01_VC32,HC01_VC35,HC01_VC36,HC01_VC37,HC01_VC38,HC01_VC41,HC01_VC42,HC01_VC43,HC01_VC44,HC01_VC48,HC01_VC49,HC01_VC50,HC01_VC53,HC01_VC54,HC01_VC55,HC01_VC56,HC01_VC57,HC01_VC58,HC01_VC59,HC01_VC60,HC01_VC61,HC01_VC62,HC01_VC63,HC01_VC64,HC01_VC65,HC01_VC66,HC01_VC67,HC01_VC68,HC01_VC69,HC01_VC70,HC01_VC71,HC01_VC72,HC01_VC73,HC01_VC74,HC01_VC75,HC01_VC76,HC01_VC77,HC01_VC78,HC01_VC79,HC01_VC82,HC01_VC83,HC01_VC84,HC01_VC85,HC01_VC86,HC01_VC87,HC01_VC88,HC01_VC92,HC01_VC93,HC01_VC94,HC01_VC95,HC01_VC96,HC01_VC97,HC01_VC98,HC01_VC99,HC01_VC100,HC01_VC101,HC01_VC102,HC01_VC103,HC01_VC104,HC01_VC105,HC01_VC106,HC01_VC107,HC01_VC109,HC01_VC113,HC01_VC114,HC01_VC115
0,310M300US12060,12060,"Atlanta-Sandy Springs-Roswell, GA",5882450,48.4,51.6,94,6.3,6.8,7.3,7.0,6.5,14.0,14.1,14.4,6.4,5.5,7.6,3.2,1.1,36.4,24.8,78.1,75.2,71.3,15.0,11.9,4426274,47.5,52.5,90.5,697281,43.2,56.8,75.9,5882450,97.0,3.0,97.0,53.6,34.1,0.4,0.0,0.0,0.0,0.0,5.8,2.2,0.8,0.2,0.1,0.8,0.9,0.7,0.0,N,N,N,N,3.0,3.0,1.0,0.3,0.6,0.2,5882450,56.0,35.7,1.2,6.8,0.1,3.4,5882450,10.8,5.7,1.0,0.4,3.7,89.2,47.0,33.4,0.2,5.8,0.0,0.4,2.4,0.1,2.3,2299498,4014060,47.0,53.0
1,310M300US12580,12580,"Baltimore-Columbia-Towson, MD",2808175,48.2,51.8,93,6.0,6.0,6.2,6.1,6.4,14.5,12.5,13.7,7.0,6.5,8.8,4.3,1.9,38.6,21.9,80.5,78.1,74.4,18.9,15.0,2192674,47.5,52.5,90.3,422191,43.0,57.0,75.3,2808175,96.8,3.2,96.8,59.6,29.3,0.3,0.0,0.0,0.0,0.0,5.7,1.7,1.0,0.7,0.1,0.9,0.2,1.1,0.0,N,N,N,N,2.0,3.2,1.1,0.3,0.7,0.1,2808175,62.1,31.1,1.0,6.8,0.2,2.3,2808175,5.9,1.4,0.8,0.2,3.5,94.1,56.4,28.8,0.2,5.7,0.0,0.3,2.8,0.1,2.6,1160769,2073321,47.3,52.7
2,310M300US14460,14460,"Boston-Cambridge-Newton, MA-NH",4836531,48.7,51.3,95,5.3,5.4,5.7,6.6,7.2,15.0,12.5,13.8,7.1,6.3,8.8,4.4,2.1,38.7,19.9,82.5,80.1,75.6,18.9,15.3,3872096,48.0,52.0,92.4,742352,43.2,56.8,76.2,4836531,97.1,2.9,97.1,76.8,8.5,0.2,0.0,0.0,0.0,0.0,7.9,1.9,3.1,0.2,0.2,0.5,0.8,1.3,0.0,N,N,N,N,3.7,2.9,1.2,0.2,0.8,0.1,4836531,79.3,10.0,0.6,8.9,0.2,4.1,4836531,11.2,0.7,3.0,0.3,7.3,88.8,70.3,7.6,0.1,7.9,0.0,0.9,2.0,0.2,1.7,1955479,3462624,47.7,52.3
3,310M300US15380,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",1136856,48.5,51.5,94,5.4,5.6,5.6,6.5,6.4,13.9,11.0,13.2,7.8,6.9,9.9,5.0,2.7,40.7,20.3,82.1,79.7,75.4,21.4,17.6,905698,47.9,52.1,91.8,200612,42.8,57.2,74.8,1136856,97.4,2.6,97.4,79.3,12.3,0.7,0.0,0.0,0.0,0.0,3.1,0.8,0.7,0.1,0.0,0.2,0.2,1.1,0.0,N,N,N,N,1.9,2.6,1.1,0.2,0.6,0.1,1136856,81.6,13.8,1.1,3.8,0.1,2.4,1136856,5.0,0.6,3.6,0.1,0.8,95.0,77.2,11.8,0.6,3.1,0.0,0.1,2.1,0.1,2.1,529009,877979,47.7,52.3
4,310M300US16740,16740,"Charlotte-Concord-Gastonia, NC-SC",2525305,48.4,51.6,94,6.3,6.6,7.0,6.8,5.9,13.9,13.9,14.4,6.4,5.5,8.4,3.6,1.3,37.5,24.0,78.9,76.0,72.3,16.5,13.3,1918827,47.7,52.3,91.3,336968,43.2,56.8,76.2,2525305,97.5,2.5,97.5,67.1,22.6,0.3,0.0,0.0,0.0,0.0,3.7,1.7,0.4,0.2,0.0,0.1,0.6,0.7,0.1,N,N,N,N,3.6,2.5,0.9,0.4,0.5,0.2,2525305,69.3,24.0,1.1,4.3,0.2,3.9,2525305,10.2,4.7,1.1,0.4,4.0,89.8,61.1,22.3,0.2,3.6,0.1,0.2,2.2,0.1,2.2,1028021,1776437,47.4,52.6
5,310M300US16980,16980,"Chicago-Naperville-Elgin, IL-IN-WI",9533895,49.0,51.0,96,6.1,6.2,6.7,6.6,6.6,14.3,13.2,13.4,6.8,6.0,8.3,4.1,1.7,37.4,23.0,79.8,77.0,73.2,17.6,14.1,7340263,48.4,51.6,93.8,1348232,43.2,56.8,76.0,9533895,97.2,2.8,97.2,65.3,16.5,0.3,0.0,0.0,0.0,0.0,6.6,2.3,1.2,1.2,0.1,0.5,0.3,0.9,0.0,0.0,0.0,0.0,0.0,8.5,2.8,0.6,0.3,0.7,0.1,9533895,67.6,17.5,0.7,7.6,0.1,9.3,9533895,22.3,17.6,2.1,0.2,2.4,77.7,52.8,16.3,0.1,6.5,0.0,0.2,1.8,0.1,1.7,3843175,6555665,48.1,51.9
6,310M300US17140,17140,"Cincinnati, OH-KY-IN",2180746,48.9,51.1,96,6.3,6.6,6.6,6.8,6.4,13.5,12.3,13.3,7.0,6.5,8.7,4.2,1.8,37.7,23.6,79.1,76.4,72.4,18.4,14.7,1666479,48.3,51.7,93.4,320758,43.7,56.3,77.6,2180746,97.4,2.6,97.4,81.7,12.0,0.2,0.0,0.0,0.0,0.0,2.6,1.2,0.5,0.2,0.1,0.1,0.2,0.4,0.0,N,N,N,N,0.8,2.6,1.6,0.3,0.4,0.1,2180746,84.2,13.8,0.6,3.2,0.1,0.9,2180746,3.3,1.5,0.4,0.1,1.2,96.7,79.4,12.0,0.2,2.6,0.0,0.1,2.5,0.0,2.4,932500,1612494,48.1,51.9
7,310M300US17460,17460,"Cleveland-Elyria, OH",2058844,48.3,51.7,93,5.6,5.6,6.2,6.3,6.2,12.7,11.6,13.3,7.5,7.1,10.2,5.4,2.5,41.3,21.3,81.4,78.7,75.2,22.0,18.1,1620677,47.5,52.5,90.5,371910,42.8,57.2,74.8,2058844,96.9,3.1,96.9,73.3,19.8,0.2,0.0,0.0,0.0,0.0,2.2,0.8,0.5,0.2,0.1,0.1,0.2,0.3,0.0,N,N,N,N,1.3,3.1,1.3,0.3,0.6,0.1,2058844,76.0,21.7,0.9,3.1,0.1,1.7,2058844,5.8,1.3,3.4,0.1,1.1,94.2,69.8,19.5,0.1,2.2,0.0,0.2,2.3,0.1,2.3,962092,1578371,47.5,52.5
8,310M300US18140,18140,"Columbus, OH",2078725,49.1,50.9,96,6.7,6.7,6.3,6.6,6.5,15.7,13.3,13.0,6.4,5.7,7.8,3.7,1.4,35.9,23.7,78.9,76.3,72.3,16.1,12.9,1586490,48.6,51.4,94.6,268575,43.6,56.4,77.3,2078725,96.9,3.1,96.9,75.4,15.6,0.2,0.0,0.0,0.0,0.0,4.4,1.7,0.6,0.2,0.2,0.2,0.2,1.2,0.1,N,N,N,N,1.3,3.1,1.5,0.4,0.4,0.1,2078725,78.1,17.6,1.0,5.1,0.1,1.5,2078725,4.1,1.9,0.7,0.1,1.4,95.9,73.0,15.4,0.1,4.3,0.0,0.2,2.8,0.1,2.7,861794,1512473,48.4,51.6
9,310M300US19100,19100,"Dallas-Fort Worth-Arlington, TX",7400479,49.2,50.8,97,7.0,7.2,7.6,7.0,6.5,14.8,14.1,13.4,6.2,5.1,6.9,3.1,1.1,34.9,26.2,76.8,73.8,69.9,14.0,11.1,5460752,48.6,51.4,94.4,820463,43.9,56.1,78.4,7400479,97.1,2.9,97.1,68.7,15.6,0.4,0.0,0.0,0.0,0.0,6.8,2.5,0.9,0.4,0.1,0.4,1.3,1.2,0.1,0.0,0.0,0.0,0.1,5.4,2.9,0.8,0.5,0.6,0.1,7400479,71.2,16.9,1.2,7.6,0.2,6.0,7400479,28.9,23.9,0.7,0.2,4.0,71.1,46.3,15.4,0.3,6.7,0.1,0.3,2.1,0.1,2.0,2794066,4653234,48.0,52.0
