,GeoName,IndustryClassification,Description,2017
2,"Atlanta-Sandy Springs-Roswell, GA",11,"  Agriculture, forestry, fishing, and hunting",
5,"Atlanta-Sandy Springs-Roswell, GA",21,"  Mining, quarrying, and oil and gas extraction",602.1
9,"Atlanta-Sandy Springs-Roswell, GA",22,  Utilities,4726.5
10,"Atlanta-Sandy Springs-Roswell, GA",23,  Construction,13450.2
11,"Atlanta-Sandy Springs-Roswell, GA",31-33,  Manufacturing,26278.8
33,"Atlanta-Sandy Springs-Roswell, GA",42,  Wholesale trade,29590.6
34,"Atlanta-Sandy Springs-Roswell, GA",44-45,  Retail trade,19244.1
35,"Atlanta-Sandy Springs-Roswell, GA",48-49,  Transportation and warehousing,14624.1
44,"Atlanta-Sandy Springs-Roswell, GA",51,  Information,43548.8
49,"Atlanta-Sandy Springs-Roswell, GA","52, 53","  Finance, insurance, real estate, rental, and leasing",69248.9
50,"Atlanta-Sandy Springs-Roswell, GA",52,   Finance and insurance,24072.5
55,"Atlanta-Sandy Springs-Roswell, GA",53,   Real estate and rental and leasing,45204.0
58,"Atlanta-Sandy Springs-Roswell, GA","54, 55, 56",  Professional and business services,50492.1
59,"Atlanta-Sandy Springs-Roswell, GA",54,"   Professional, scientific, and technical services",27735.0
60,"Atlanta-Sandy Springs-Roswell, GA",55,   Management of companies and enterprises,9093.9
61,"Atlanta-Sandy Springs-Roswell, GA",56,   Administrative and support and waste management and remediation services,13720.6
64,"Atlanta-Sandy Springs-Roswell, GA","61, 62","  Educational services, health care, and social assistance",
65,"Atlanta-Sandy Springs-Roswell, GA",61,   Educational services,
66,"Atlanta-Sandy Springs-Roswell, GA",62,   Health care and social assistance,18646.9
70,"Atlanta-Sandy Springs-Roswell, GA","71, 72","  Arts, entertainment, recreation, accommodation, and food services",9866.6
71,"Atlanta-Sandy Springs-Roswell, GA",71,"   Arts, entertainment, and recreation",2075.6
74,"Atlanta-Sandy Springs-Roswell, GA",72,   Accommodation and food services,7798.6
77,"Atlanta-Sandy Springs-Roswell, GA",81,  Other services (except government and government enterprises),5536.6
82,"Atlanta-Sandy Springs-Roswell, GA","11, 21",Natural resources and mining,
83,"Atlanta-Sandy Springs-Roswell, GA","42, 44-45",Trade,48816.9
89,"Baltimore-Columbia-Towson, MD",11,"  Agriculture, forestry, fishing, and hunting",157.0
92,"Baltimore-Columbia-Towson, MD",21,"  Mining, quarrying, and oil and gas extraction",134.9
96,"Baltimore-Columbia-Towson, MD",22,  Utilities,3070.6
97,"Baltimore-Columbia-Towson, MD",23,  Construction,6717.6
98,"Baltimore-Columbia-Towson, MD",31-33,  Manufacturing,10397.2
120,"Baltimore-Columbia-Towson, MD",42,  Wholesale trade,9213.2
121,"Baltimore-Columbia-Towson, MD",44-45,  Retail trade,8523.3
122,"Baltimore-Columbia-Towson, MD",48-49,  Transportation and warehousing,4194.2
131,"Baltimore-Columbia-Towson, MD",51,  Information,6330.0
136,"Baltimore-Columbia-Towson, MD","52, 53","  Finance, insurance, real estate, rental, and leasing",33711.3
137,"Baltimore-Columbia-Towson, MD",52,   Finance and insurance,9399.2
142,"Baltimore-Columbia-Towson, MD",53,   Real estate and rental and leasing,24215.5
145,"Baltimore-Columbia-Towson, MD","54, 55, 56",  Professional and business services,24630.0
146,"Baltimore-Columbia-Towson, MD",54,"   Professional, scientific, and technical services",
147,"Baltimore-Columbia-Towson, MD",55,   Management of companies and enterprises,
148,"Baltimore-Columbia-Towson, MD",56,   Administrative and support and waste management and remediation services,5904.9
151,"Baltimore-Columbia-Towson, MD","61, 62","  Educational services, health care, and social assistance",17478.4
152,"Baltimore-Columbia-Towson, MD",61,   Educational services,3140.5
153,"Baltimore-Columbia-Towson, MD",62,   Health care and social assistance,14362.8
157,"Baltimore-Columbia-Towson, MD","71, 72","  Arts, entertainment, recreation, accommodation, and food services",6079.3
158,"Baltimore-Columbia-Towson, MD",71,"   Arts, entertainment, and recreation",2348.1
161,"Baltimore-Columbia-Towson, MD",72,   Accommodation and food services,3743.4
164,"Baltimore-Columbia-Towson, MD",81,  Other services (except government and government enterprises),3425.9
169,"Baltimore-Columbia-Towson, MD","11, 21",Natural resources and mining,285.7
170,"Baltimore-Columbia-Towson, MD","42, 44-45",Trade,17739.4
176,"Boston-Cambridge-Newton, MA-NH",11,"  Agriculture, forestry, fishing, and hunting",350.6
179,"Boston-Cambridge-Newton, MA-NH",21,"  Mining, quarrying, and oil and gas extraction",
183,"Boston-Cambridge-Newton, MA-NH",22,  Utilities,
184,"Boston-Cambridge-Newton, MA-NH",23,  Construction,
185,"Boston-Cambridge-Newton, MA-NH",31-33,  Manufacturing,
207,"Boston-Cambridge-Newton, MA-NH",42,  Wholesale trade,19293.2
208,"Boston-Cambridge-Newton, MA-NH",44-45,  Retail trade,15301.4
209,"Boston-Cambridge-Newton, MA-NH",48-49,  Transportation and warehousing,
218,"Boston-Cambridge-Newton, MA-NH",51,  Information,26477.7
223,"Boston-Cambridge-Newton, MA-NH","52, 53","  Finance, insurance, real estate, rental, and leasing",91322.0
224,"Boston-Cambridge-Newton, MA-NH",52,   Finance and insurance,31861.4
229,"Boston-Cambridge-Newton, MA-NH",53,   Real estate and rental and leasing,59686.5
232,"Boston-Cambridge-Newton, MA-NH","54, 55, 56",  Professional and business services,75756.9
233,"Boston-Cambridge-Newton, MA-NH",54,"   Professional, scientific, and technical services",53875.8
234,"Boston-Cambridge-Newton, MA-NH",55,   Management of companies and enterprises,10554.6
235,"Boston-Cambridge-Newton, MA-NH",56,   Administrative and support and waste management and remediation services,11295.0
238,"Boston-Cambridge-Newton, MA-NH","61, 62","  Educational services, health care, and social assistance",41679.7
239,"Boston-Cambridge-Newton, MA-NH",61,   Educational services,9723.2
